SUBJID	PEER1	PEER2	PEER3	PEER4	PEER5	PEER6	PEER7	PEER8	PEER9	PEER10	PEER11	PEER12	PEER13	PEER14	PEER15
GTEX-1IDJE-0826-SM-CKZNZ_PDUI	-0.0492099672555923	-1.16866544885852e-06	2.49996574552824e-08	6.79617429000245e-08	7.57840794562981e-08	1.39201475235495e-07	-2.33767565305243e-08	7.80081776952102e-09	2.62299728603921e-08	-1.56067105905322e-08	5.66592994744042e-10	-3.39525052517331e-09	4.24909618601532e-09	3.06912650849256e-09	5.51237500090451e-09
GTEX-1JMOU-2026-SM-CMKGU_PDUI	-0.0494337044656277	-1.09351958599291e-06	2.43615346562365e-07	5.96575766564911e-09	7.68571553066977e-08	1.39313598879198e-07	-2.43178952530343e-08	6.11367312330913e-09	2.55215439892709e-08	-1.53670178804077e-08	3.27777277542296e-10	-3.36588890093026e-09	4.46834214073988e-09	3.31311311718707e-09	5.32776578410221e-09
GTEX-1JN1M-3026-SM-CMKGK_PDUI	-0.0491765812039375	-1.31676972614514e-06	1.52326535385328e-07	3.76867426155059e-08	7.53827222865766e-08	1.39397670295693e-07	-2.47107827533455e-08	6.44155795370693e-09	2.60169947807753e-08	-1.55675152768708e-08	3.19839377205255e-10	-3.32727778662445e-09	4.50953496766715e-09	3.1152862511874e-09	5.38662492388653e-09
GTEX-1K9T9-1426-SM-DIPFQ_PDUI	-0.0488821603357792	-6.40150290109887e-07	1.0884543399925e-07	4.86639883945372e-08	7.22388406870778e-08	1.39890147465849e-07	-2.22272831251757e-08	7.36171168469468e-09	2.51309160148594e-08	-1.52300323463805e-08	7.42307937340314e-10	-3.49190054649284e-09	3.93547150423501e-09	3.33364003068937e-09	5.41387379371372e-09
GTEX-1LNCM-0226-SM-DIPF4_PDUI	-0.0491030067205429	-3.12125138179908e-07	3.30068786524862e-07	-9.20386611369395e-09	7.05070277717823e-08	1.41188735369724e-07	-2.23843947821933e-08	5.91483306777718e-09	2.42761934998725e-08	-1.48198937566235e-08	6.7365291123167e-10	-3.53857276813585e-09	3.98270527668387e-09	3.67481090002286e-09	5.24366861043291e-09
GTEX-1LVAM-0926-SM-E9TJ2_PDUI	-0.0494090020656586	-1.11211136299971e-06	1.11348397169309e-08	8.6428379120207e-08	7.52255289171444e-08	1.41259675956462e-07	-2.33692514228778e-08	7.45261097279126e-09	2.64717776587986e-08	-1.57172976855691e-08	6.62775112569847e-10	-3.43463080199058e-09	4.2024459467882e-09	3.09497050210439e-09	5.56227419679090e-09
GTEX-1MA7W-1026-SM-DKPQK_PDUI	-0.0491388253867626	3.01210491215897e-07	2.96913356123696e-08	1.5295236721613e-07	7.79635129788403e-08	1.3985241764658e-07	-1.7678207342442e-08	9.30091204054406e-09	2.47152609489376e-08	-1.50675933952016e-08	1.51180146179541e-09	-3.89971965830682e-09	3.20929616215437e-09	3.69985686532459e-09	5.58157253749414e-09
GTEX-1MCYP-0126-SM-E6CIS_PDUI	-0.0478507354855537	-2.60751721725683e-06	-3.29424750589169e-07	1.8628550435551e-07	5.11739166597636e-08	1.22993824902551e-07	-2.57701895378659e-08	8.48915782114545e-09	2.92811268565174e-08	-1.64123736823285e-08	1.29244656643657e-10	-3.04558778196906e-09	4.78997685959826e-09	2.02862882048294e-09	5.69500979707982e-09
GTEX-1NUQO-2226-SM-E9U68_PDUI	-0.049587070941925	-1.39545988986356e-07	2.67962661837373e-07	5.56837775889107e-08	7.85882576792574e-08	1.4021215122284e-07	-2.13925588354869e-08	6.77545308747085e-09	2.46370799317219e-08	-1.50499221973632e-08	9.68083613273052e-10	-3.67777830412308e-09	3.84659548657851e-09	3.74168163119748e-09	5.37744959672182e-09
GTEX-1POEN-0926-SM-DTX88_PDUI	-0.0490437038242817	-1.30419300603535e-06	2.06429916715933e-07	4.15308285539595e-08	6.8646123452254e-08	1.40782361768288e-07	-2.46809221948752e-08	6.0021045911185e-09	2.6116390827724e-08	-1.53611185993441e-08	3.40691752587219e-10	-3.31653859930725e-09	4.57561277755758e-09	3.15990345001183e-09	5.34572963672986e-09
GTEX-1QCLZ-2326-SM-DTXDO_PDUI	-0.0491890572011471	-1.10540486275568e-06	5.82588377540105e-08	5.86493271725885e-08	7.8017968974109e-08	1.37444857273294e-07	-2.33290968765232e-08	7.33012983644699e-09	2.58757069104831e-08	-1.55519561673145e-08	5.55481327602081e-10	-3.38322436732597e-09	4.2421430812567e-09	3.13139003615959e-09	5.47709699816323e-09
GTEX-1QEPI-0926-SM-DTXF3_PDUI	-0.0492155030369759	-5.71826035411505e-07	2.49365001536717e-07	-9.07418140627669e-10	7.13519199280199e-08	1.37434042812856e-07	-2.28120793366315e-08	6.45732622928108e-09	2.46082638710732e-08	-1.50765337991743e-08	5.97946803182481e-10	-3.47562800762091e-09	4.06387545837106e-09	3.51065243542337e-09	5.30607247029025e-09
GTEX-1QP28-1226-SM-E9J2M_PDUI	-0.0496802031993866	6.26283281235374e-07	1.45274796636841e-08	7.22700761457418e-08	8.33127273835998e-08	1.35832351588761e-07	-1.64348410436332e-08	9.3281542490331e-09	2.37555415338875e-08	-1.50735406378999e-08	1.52875256898e-09	-3.87478893415505e-09	2.94269342226983e-09	3.86014376019261e-09	5.59123769505732e-09
GTEX-1QPFJ-2026-SM-EVYBE_PDUI	-0.0490626096725464	-6.71057648560236e-07	1.08672004728305e-07	1.56951770691194e-07	7.60235181473945e-08	1.38347402867112e-07	-2.23358700424114e-08	7.69469288286473e-09	2.59642298772178e-08	-1.53897907750888e-08	9.45810318953022e-10	-3.63570373806965e-09	4.03537603332893e-09	3.36715233473228e-09	5.49927969828445e-09
GTEX-1R46S-2526-SM-E8VN2_PDUI	-0.049186933785677	8.2582261029529e-09	1.75632905552447e-07	6.75796414384422e-08	7.37459870947532e-08	1.39012357180945e-07	-2.01572536440153e-08	7.69623031970923e-09	2.43566358193448e-08	-1.50449004365782e-08	1.08666775577859e-09	-3.70862052179177e-09	3.5787681706978e-09	3.69500097185949e-09	5.41609024296008e-09
GTEX-1R9JW-0326-SM-EAZ45_PDUI	-0.0498754717409611	5.03977659604971e-08	1.34727756062603e-07	2.09384154459258e-08	8.24122423637164e-08	1.38214602429798e-07	-2.01353778095381e-08	7.86111975514814e-09	2.42805331396312e-08	-1.51400296743986e-08	1.05508002334886e-09	-3.69350305895466e-09	3.50286599726246e-09	3.72063158060598e-09	5.47700684805363e-09
GTEX-1R9PN-0326-SM-DTX85_PDUI	-0.0490042753517628	-6.51610150725901e-07	-1.28387229736404e-08	5.73141143433986e-08	7.4030019447946e-08	1.36417270368838e-07	-2.15113544754786e-08	8.07439715089231e-09	2.52023273361601e-08	-1.5383340823405e-08	8.53686565882583e-10	-3.47583006821139e-09	3.78907749620794e-09	3.23704374416423e-09	5.51811263349578e-09
GTEX-1S82U-1126-SM-E9U6I_PDUI	-0.0494878888130188	-3.36992172833561e-07	1.00551652337799e-07	1.20398496505913e-07	8.0321882478529e-08	1.38708969643631e-07	-2.09946691143159e-08	8.2468103457245e-09	2.54071395033861e-08	-1.53415236070487e-08	1.06308717384707e-09	-3.69777342079658e-09	3.78965525626995e-09	3.52355189470188e-09	5.52851631141493e-09
GTEX-1S82Z-0726-SM-E6CHX_PDUI	-0.0483517050743103	-2.90425964522001e-06	-1.24638006582245e-07	1.57067873374217e-07	5.81046535330643e-08	1.24243399568513e-07	-2.85683352529986e-08	6.56603793558475e-09	2.94082713736543e-08	-1.63847868606126e-08	-1.96190355628012e-10	-2.97770630375283e-09	5.31099519918143e-09	2.14418482968881e-09	5.5636495410738e-09
GTEX-Q2AG-0326-SM-48U1O_PDUI	-0.0494617633521557	9.28811161315934e-08	3.53028724475735e-07	1.12787233774725e-07	7.07354743667565e-08	1.41956832067081e-07	-2.13531823334279e-08	6.69473720904534e-09	2.48252369772217e-08	-1.48218992634952e-08	1.11041298378467e-09	-3.86348641967516e-09	3.80373466057904e-09	3.92236998436601e-09	5.35333510853775e-09
GTEX-QVJO-1826-SM-447C9_PDUI	-0.0498087964951992	4.55360748219391e-07	3.17327845777982e-07	8.48445296242062e-08	7.29797164922275e-08	1.39297711143627e-07	-1.99238581188865e-08	7.27732940575265e-09	2.41110011955925e-08	-1.48187497828189e-08	1.26927812704736e-09	-3.92524990289189e-09	3.48317619192073e-09	4.07124911561141e-09	5.40421263295343e-09
GTEX-R3RS-0626-SM-48FE1_PDUI	-0.0494904518127441	8.1663040418789e-07	4.16605445252571e-07	3.64776830963365e-08	6.9903499877455e-08	1.41459651104014e-07	-1.8924357192418e-08	6.6557097611053e-09	2.31654855298302e-08	-1.44292844339589e-08	1.30577049173297e-09	-3.9574317156621e-09	3.30442273543952e-09	4.25867741071784e-09	5.26805177258893e-09
GTEX-R53T-1526-SM-48FEK_PDUI	-0.0491930395364761	4.55970706525477e-07	1.4511716983634e-07	1.06856035131386e-07	7.55895186443922e-08	1.37132644795201e-07	-1.89347755252811e-08	7.67992069938828e-09	2.41128503830623e-08	-1.48836534208385e-08	1.42137235314976e-09	-3.89973298098312e-09	3.21346171894277e-09	3.8750664899112e-09	5.47647394100181e-09
GTEX-RWS6-1926-SM-47JXY_PDUI	-0.0492110177874565	-3.79481903678425e-08	1.00238750633252e-07	1.17372522367987e-07	7.37888967705658e-08	1.39947900379411e-07	-2.04348413745947e-08	8.07872613250993e-09	2.5054468721919e-08	-1.5145168674735e-08	1.2052054909617e-09	-3.7758796089804e-09	3.52895668243036e-09	3.62030450062889e-09	5.50984413649758e-09
GTEX-S32W-2026-SM-4AD6E_PDUI	-0.0498788058757782	-8.00589106120242e-09	2.78203572179336e-07	5.42865237207479e-08	7.99466093326373e-08	1.38810833050229e-07	-2.17266844515507e-08	7.10931491454403e-09	2.45686333499862e-08	-1.50488634886869e-08	9.92346205208605e-10	-3.75805919716754e-09	3.77147157948343e-09	3.83805653925151e-09	5.3983684189518e-09
GTEX-S4P3-1326-SM-4AD6V_PDUI	-0.0494192019104958	1.42028284244589e-07	1.59698103630035e-07	7.95277728116162e-08	7.27170714753811e-08	1.40711250651293e-07	-2.01665972809906e-08	7.81158249196778e-09	2.45048408231696e-08	-1.50315937474943e-08	1.18778675783915e-09	-3.79377063097763e-09	3.47669382172455e-09	3.74956643511837e-09	5.46701528492122e-09
GTEX-S4UY-0726-SM-4AD6X_PDUI	-0.049299068748951	-2.34577228752642e-07	2.20307629916761e-08	1.12592459799998e-07	7.61630616352704e-08	1.39332399839986e-07	-2.06508339317679e-08	8.75446826142934e-09	2.52246916687682e-08	-1.53694550419914e-08	1.13205655960513e-09	-3.70924491122082e-09	3.57816620777385e-09	3.46137429829696e-09	5.57060442218926e-09
GTEX-SE5C-2126-SM-4BRUJ_PDUI	-0.0499578453600407	4.18380921018979e-07	4.68276901699483e-08	7.90443976939059e-08	8.06084869964252e-08	1.38066738486486e-07	-1.88344166929255e-08	9.10574371459916e-09	2.42376092529639e-08	-1.51692187699837e-08	1.40928868574974e-09	-3.87496434939294e-09	3.15924286731217e-09	3.80343889716528e-09	5.60625368350998e-09
